j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      192    0.000    0.000    0.001    0.000 transforms.py:767(__init__)
     2524    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      648    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
       19    0.000    0.000    0.013    0.001 axis.py:57(__init__)
      225    0.000    0.000    0.001    0.000 enum.py:986(__and__)
    152/7    0.000    0.000    0.004    0.001 core.py:3675(streamline)
      622    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
       37    0.000    0.000    0.333    0.009 text.py:671(draw)
     2524    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      544    0.000    0.000    0.001    0.000 transforms.py:1783(__init__)
      140    0.000    0.000    0.002    0.000 core.py:3783(__init__)
      246    0.000    0.000    0.005    0.000 core.py:2984(parseImpl)
        4    0.000    0.000    0.000    0.000 linalg.py:476(inv)
      306    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      661    0.000    0.000    0.001    0.000 function_base.py:346(iterable)
      127    0.000    0.000    0.049    0.000 docstring.py:36(__call__)
      360    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
     5972    0.000    0.000    0.000    0.000 inspect.py:2695(kind)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      892    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
      572    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      908    0.000    0.000    0.000    0.000 transforms.py:107(__init__)
      260    0.000    0.000    0.001    0.000 transforms.py:1900(__init__)
      196    0.000    0.000    0.002    0.000 core.py:3601(__init__)
      357    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      369    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      618    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      432    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 helpers.py:692(<dictcomp>)
      415    0.000    0.000    0.003    0.000 core.py:499(copy)
       23    0.000    0.000    0.002    0.000 posixpath.py:400(_joinrealpath)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
     1290    0.000    0.000    0.001    0.000 font_manager.py:1304(<genexpr>)
     5398    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
