         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      831    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
  376/373    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     2806    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
      226    0.001    0.000    0.027    0.000 sre_parse.py:944(parse)
      149    0.001    0.000    0.003    0.000 deprecation.py:133(deprecate)
     4471    0.001    0.000    0.001    0.000 artist.py:1456(<genexpr>)
      263    0.001    0.000    0.001    0.000 font_manager.py:826(set_weight)
      731    0.001    0.000    0.001    0.000 transforms.py:1783(__init__)
     1733    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      826    0.001    0.000    0.001    0.000 util.py:111(set_)
        8    0.001    0.000    0.001    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      304    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1572    0.001    0.000    0.001    0.000 font_manager.py:1122(_expand_aliases)
  695/671    0.001    0.000    0.003    0.000 contextlib.py:139(__exit__)
      264    0.001    0.000    0.009    0.000 text.py:162(update)
      308    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.001    0.000    0.001    0.000 {method 'eraseRect' of 'PySide6.QtGui.QPainter' objects}
      743    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       58    0.001    0.000    0.344    0.006 text.py:671(draw)
      821    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      787    0.001    0.000    0.001    0.000 std.py:233(__call__)
     8208    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      368    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
       68    0.001    0.000    0.005    0.000 lines.py:724(draw)
     1362    0.001    0.000    0.002    0.000 artist.py:405(pchanged)
      223    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
      101    0.001    0.000    0.591    0.006 artist.py:128(_update_set_signature_and_docstring)
      943    0.001    0.000    0.002    0.000 loader.py:89(feature_import)
      401    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      417    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
      160    0.001    0.000    0.001    0.000 colors.py:195(_to_rgba_no_colorcycle)
      191    0.001    0.000    0.001    0.000 transforms.py:767(__init__)
     1524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      264    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
      132    0.001    0.000    0.029    0.000 std.py:1339(refresh)
        1    0.001    0.001    0.001    0.001 linalg.py:476(inv)
      266    0.000    0.000    0.001    0.000 utils.py:222(_is_ascii)
      182    0.000    0.000    0.225    0.001 font_manager.py:1248(findfont)
        1    0.000    0.000    0.001    0.001 backend_agg.py:87(__init__)
      127    0.000    0.000    0.048    0.000 docstring.py:36(__call__)
     1258    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       28    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
